iter	Passed	Remaining
0	173	173318
1	175	87692
2	178	59229
3	180	44927
4	182	36305
5	184	30534
6	185	26372
7	188	23359
8	190	21003
9	192	19079
10	195	17544
11	197	16242
12	198	15084
13	200	14130
14	202	13297
15	204	12556
16	206	11935
17	207	11347
18	209	10833
19	211	10375
20	213	9973
21	216	9603
22	218	9263
23	219	8942
24	221	8623
25	223	8358
26	225	8111
27	226	7858
28	228	7649
29	230	7455
30	232	7272
31	234	7091
32	236	6930
33	238	6782
34	240	6635
35	242	6501
36	244	6365
37	246	6229
38	247	6107
39	249	5998
40	251	5887
41	253	5788
42	255	5691
43	257	5598
44	259	5511
45	261	5431
46	263	5343
47	265	5274
48	268	5205
49	269	5118
50	271	5051
51	272	4976
52	274	4910
53	276	4843
54	278	4782
55	279	4715
56	281	4653
57	282	4594
58	284	4534
59	285	4476
60	286	4417
61	288	4363
62	289	4308
63	291	4257
64	292	4203
65	293	4150
66	294	4098
67	295	4050
68	296	4001
69	297	3953
70	298	3905
71	299	3859
72	300	3815
73	301	3775
74	302	3733
75	303	3693
76	304	3651
77	305	3613
78	306	3577
79	308	3542
80	309	3507
81	310	3472
82	310	3432
83	311	3398
84	312	3364
85	313	3334
86	314	3303
87	315	3272
88	316	3242
89	317	3213
90	318	3185
91	320	3159
92	321	3133
93	322	3107
94	323	3080
95	324	3054
96	325	3028
97	326	3005
98	327	2980
99	328	2955
100	329	2931
101	330	2907
102	331	2884
103	332	2861
104	333	2839
105	334	2817
106	334	2795
107	335	2773
108	336	2753
109	337	2732
110	338	2713
111	339	2694
112	340	2674
113	341	2655
114	342	2637
115	343	2618
116	344	2599
117	346	2586
118	346	2568
119	347	2551
120	348	2533
121	349	2515
122	350	2499
123	351	2485
124	352	2469
125	353	2453
126	354	2436
127	355	2421
128	356	2405
129	357	2393
130	358	2378
131	359	2363
132	360	2348
133	361	2334
134	362	2320
135	363	2307
136	364	2295
137	365	2282
138	366	2269
139	367	2256
140	368	2243
141	368	2228
142	370	2217
143	371	2205
144	372	2194
145	373	2182
146	373	2169
147	374	2158
148	376	2150
149	377	2140
150	379	2131
151	380	2122
152	381	2111
153	382	2102
154	383	2092
155	384	2082
156	385	2072
157	386	2061
158	387	2050
159	388	2041
160	389	2030
161	390	2020
162	391	2010
163	392	2000
164	393	1990
165	394	1980
166	395	1971
167	396	1963
168	397	1953
169	398	1943
170	399	1935
171	400	1925
172	401	1918
173	402	1910
174	403	1901
175	404	1892
176	405	1883
177	405	1874
178	407	1866
179	408	1859
180	409	1851
181	410	1843
182	411	1835
183	412	1827
184	413	1820
185	414	1813
186	415	1806
187	416	1798
188	417	1790
189	418	1782
190	419	1775
191	420	1768
192	421	1761
193	422	1753
194	423	1746
195	423	1738
196	424	1732
197	426	1725
198	427	1719
199	428	1712
200	429	1705
201	430	1698
202	430	1692
203	431	1685
204	433	1679
205	434	1672
206	434	1666
207	435	1660
208	436	1653
209	437	1647
210	439	1641
211	440	1635
212	441	1629
213	442	1623
214	442	1617
215	443	1611
216	445	1605
217	446	1600
218	447	1594
219	447	1587
220	448	1582
221	449	1576
222	450	1570
223	451	1565
224	452	1559
225	453	1554
226	454	1548
227	455	1542
228	456	1537
229	457	1531
230	458	1527
231	459	1521
232	460	1516
233	461	1510
234	462	1505
235	463	1500
236	464	1495
237	465	1490
238	466	1485
239	467	1480
240	468	1474
241	469	1469
242	470	1464
243	471	1460
244	472	1455
245	473	1450
246	474	1445
247	475	1440
248	476	1436
249	477	1431
250	478	1427
251	479	1423
252	480	1418
253	481	1413
254	482	1409
255	483	1405
256	497	1437
257	498	1434
258	499	1430
259	500	1425
260	501	1420
261	503	1416
262	504	1413
263	505	1408
264	506	1403
265	507	1399
266	508	1395
267	509	1392
268	510	1388
269	511	1384
270	512	1379
271	513	1375
272	515	1372
273	516	1368
274	517	1364
275	518	1360
276	519	1356
277	520	1352
278	521	1348
279	522	1344
280	523	1340
281	524	1335
282	525	1331
283	526	1328
284	528	1324
285	529	1321
286	530	1317
287	531	1313
288	532	1309
289	533	1304
290	534	1301
291	535	1297
292	536	1294
293	537	1290
294	538	1286
295	539	1283
296	540	1279
297	541	1276
298	542	1272
299	543	1268
300	544	1265
301	545	1261
302	546	1258
303	548	1254
304	549	1251
305	550	1247
306	551	1244
307	553	1242
308	554	1239
309	555	1236
310	556	1232
311	557	1229
312	559	1228
313	560	1225
314	561	1221
315	563	1218
316	564	1215
317	565	1213
318	566	1209
319	567	1206
320	568	1203
321	569	1199
322	570	1196
323	571	1193
324	573	1190
325	574	1187
326	575	1183
327	576	1180
328	577	1177
329	578	1174
330	579	1170
331	580	1167
332	581	1163
333	581	1160
334	582	1156
335	583	1154
336	585	1151
337	585	1147
338	586	1144
339	588	1141
340	588	1138
341	590	1135
342	590	1132
343	591	1128
344	592	1125
345	593	1122
346	594	1119
347	595	1115
348	596	1112
349	597	1109
350	598	1106
351	599	1103
352	600	1100
353	601	1097
354	602	1094
355	603	1091
356	604	1088
357	605	1085
358	606	1082
359	607	1079
360	608	1077
361	609	1074
362	610	1071
363	611	1068
364	612	1065
365	613	1062
366	614	1059
367	615	1057
368	616	1054
369	617	1052
370	618	1049
371	619	1046
372	620	1043
373	621	1041
374	623	1038
375	624	1035
376	625	1032
377	626	1030
378	626	1027
379	628	1024
380	629	1021
381	629	1019
382	631	1016
383	631	1013
384	632	1010
385	634	1008
386	635	1006
387	636	1003
388	637	1000
389	638	997
390	638	995
391	640	992
392	641	990
393	642	987
394	643	985
395	643	982
396	644	979
397	645	976
398	647	974
399	648	972
400	649	969
401	650	967
402	651	964
403	652	962
404	653	960
405	654	957
406	655	954
407	656	952
408	657	949
409	658	947
410	659	945
411	660	942
412	661	940
413	662	937
414	663	935
415	664	932
416	665	931
417	667	928
418	668	926
419	668	923
420	669	921
421	670	918
422	672	916
423	673	914
424	674	911
425	674	909
426	675	906
427	676	904
428	677	902
429	678	899
430	679	897
431	680	895
432	681	892
433	682	890
434	683	888
435	684	885
436	685	883
437	686	881
438	687	879
439	688	876
440	689	874
441	691	872
442	692	870
443	693	867
444	693	865
445	694	862
446	695	860
447	696	858
448	697	856
449	698	854
450	699	851
451	700	849
452	701	846
453	702	844
454	703	842
455	704	840
456	705	838
457	706	835
458	707	833
459	708	831
460	709	829
461	710	827
462	711	825
463	712	822
464	713	820
465	714	818
466	714	815
467	716	813
468	717	811
469	718	809
470	718	807
471	719	805
472	720	803
473	721	801
474	722	798
475	723	796
476	724	794
477	725	792
478	726	790
479	727	787
480	728	786
481	729	784
482	730	781
483	731	779
484	732	777
485	733	775
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	739	763
492	739	760
493	741	759
494	742	757
495	743	755
496	744	753
497	744	750
498	745	748
499	747	747
500	750	747
501	751	745
502	752	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	759	732
509	760	730
510	761	728
511	762	726
512	763	724
513	764	722
514	765	721
515	766	719
516	767	717
517	768	715
518	769	713
519	770	711
520	771	709
521	772	707
522	773	705
